,no-0,no-1,experiment,g1,g2,exact_distance,BRANCH,BRANCH_FAST,BRANCH_TIGHT,BRANCH_UNIFORM,BRANCH_COMPACT,PARTITION,HYBRID,RING,ANCHOR_AWARE_GED,WALKS,IPFP,BIPARTITE,SUBGRAPH,NODE,RING_ML,BIPARTITE_ML,REFINE,BP_BEAM,SIMULATED_ANNEALING,HED,STAR,v
10,10,10,30,Graph with 4 nodes and 3 edges,Graph with 4 nodes and 3 edges,2.0,"(2.0, [(0, 0), (1, 3), (2, 2), (3, 1)])","(2.0, [(0, 0), (1, 3), (2, 2), (3, 1)])","(2.0, [(0, 0), (1, 3), (2, 2), (3, 1)])","(2.0, [(0, 0), (1, 3), (2, 2), (3, 1)])","(inf, [])","(inf, [])","(inf, [])","(2.0, [(0, 0), (1, 3), (2, 2), (3, 1)])","(2.0, [(0, 0), (1, 1), (2, 3), (3, 2)])","(2.0, [(0, 0), (1, 3), (2, 2), (3, 1)])","(2.0, [(0, 2), (1, 1), (2, 3), (3, 0)])","(2.0, [(0, 0), (1, 3), (2, 2), (3, 1)])","(4.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(4.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(4.0, [(0, 3), (1, 1), (2, 0), (3, 2)])","(2.0, [(0, 0), (1, 3), (2, 1), (3, 2)])","(2.0, [(0, 1), (1, 3), (2, 0), (3, 2)])","(2.0, [(0, 1), (1, 2), (2, 3), (3, 0)])","(2.0, [(0, 0), (1, 3), (2, 2), (3, 1)])","(inf, [])","(2.0, [(0, 0), (1, 3), (2, 2), (3, 1)])",4
11,11,11,33,Graph with 4 nodes and 3 edges,Graph with 4 nodes and 4 edges,1.0,"(3.0, [(0, 1), (1, 0), (2, 2), (3, 3)])","(3.0, [(0, 1), (1, 0), (2, 2), (3, 3)])","(1.0, [(0, 1), (1, 3), (2, 2), (3, 0)])","(3.0, [(0, 1), (1, 0), (2, 2), (3, 3)])","(inf, [])","(inf, [])","(inf, [])","(3.0, [(0, 1), (1, 0), (2, 2), (3, 3)])","(1.0, [(0, 1), (1, 3), (2, 0), (3, 2)])","(3.0, [(0, 1), (1, 0), (2, 2), (3, 3)])","(3.0, [(0, 3), (1, 1), (2, 0), (3, 2)])","(3.0, [(0, 1), (1, 0), (2, 2), (3, 3)])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(1.0, [(0, 0), (1, 2), (2, 3), (3, 1)])","(1.0, [(0, 1), (1, 3), (2, 2), (3, 0)])","(1.0, [(0, 0), (1, 2), (2, 3), (3, 1)])","(1.0, [(0, 1), (1, 3), (2, 0), (3, 2)])","(1.0, [(0, 0), (1, 2), (2, 3), (3, 1)])","(inf, [])","(3.0, [(0, 1), (1, 0), (2, 2), (3, 3)])",4
12,12,12,36,Graph with 4 nodes and 3 edges,Graph with 4 nodes and 6 edges,3.0,"(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(inf, [])","(inf, [])","(inf, [])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 2), (2, 3), (3, 1)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 1), (1, 3), (2, 0), (3, 2)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 1), (1, 2), (2, 0), (3, 3)])","(3.0, [(0, 2), (1, 3), (2, 1), (3, 0)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(inf, [])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])",4
13,13,13,39,Graph with 4 nodes and 3 edges,Graph with 4 nodes and 3 edges,2.0,"(2.0, [(0, 0), (1, 3), (2, 2), (3, 1)])","(2.0, [(0, 0), (1, 3), (2, 2), (3, 1)])","(2.0, [(0, 0), (1, 3), (2, 2), (3, 1)])","(2.0, [(0, 0), (1, 3), (2, 2), (3, 1)])","(inf, [])","(inf, [])","(inf, [])","(2.0, [(0, 0), (1, 3), (2, 2), (3, 1)])","(2.0, [(0, 3), (1, 1), (2, 0), (3, 2)])","(2.0, [(0, 0), (1, 3), (2, 2), (3, 1)])","(2.0, [(0, 1), (1, 3), (2, 0), (3, 2)])","(2.0, [(0, 0), (1, 3), (2, 2), (3, 1)])","(4.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(4.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(12.0, [(0, 0), (1, 18446744073709551614), (2, 3), (3, 2), (18446744073709551614, 1)])","(2.0, [(0, 0), (1, 3), (2, 1), (3, 2)])","(2.0, [(0, 0), (1, 1), (2, 3), (3, 2)])","(2.0, [(0, 0), (1, 3), (2, 2), (3, 1)])","(2.0, [(0, 0), (1, 3), (2, 2), (3, 1)])","(inf, [])","(2.0, [(0, 0), (1, 3), (2, 2), (3, 1)])",4
14,14,14,42,Graph with 4 nodes and 3 edges,Graph with 4 nodes and 3 edges,0.0,"(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(inf, [])","(inf, [])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 2), (1, 1), (2, 0), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 1), (1, 0), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 1), (1, 0), (2, 2), (3, 3)])","(0.0, [(0, 2), (1, 0), (2, 1), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])",4
15,15,15,45,Graph with 4 nodes and 3 edges,Graph with 4 nodes and 4 edges,1.0,"(1.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(1.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(1.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(1.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(inf, [])","(inf, [])","(inf, [])","(1.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(1.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(1.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(1.0, [(0, 2), (1, 0), (2, 1), (3, 3)])","(1.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(1.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(1.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(1.0, [(0, 1), (1, 0), (2, 2), (3, 3)])","(13.0, [(0, 2), (1, 18446744073709551614), (2, 1), (3, 0), (18446744073709551614, 3)])","(1.0, [(0, 0), (1, 2), (2, 1), (3, 3)])","(1.0, [(0, 1), (1, 0), (2, 2), (3, 3)])","(1.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(inf, [])","(1.0, [(0, 0), (1, 1), (2, 2), (3, 3)])",4
16,16,16,48,Graph with 4 nodes and 3 edges,Graph with 4 nodes and 6 edges,3.0,"(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(inf, [])","(inf, [])","(inf, [])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 3), (1, 0), (2, 2), (3, 1)])","(3.0, [(0, 2), (1, 1), (2, 3), (3, 0)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(17.0, [(0, 0), (1, 1), (2, 3), (3, 18446744073709551614), (18446744073709551614, 2)])","(3.0, [(0, 1), (1, 2), (2, 0), (3, 3)])","(3.0, [(0, 3), (1, 2), (2, 0), (3, 1)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(inf, [])","(3.0, [(0, 2), (1, 1), (2, 3), (3, 0)])",4
17,17,17,51,Graph with 4 nodes and 4 edges,Graph with 4 nodes and 3 edges,1.0,"(3.0, [(0, 1), (1, 0), (2, 2), (3, 3)])","(3.0, [(0, 1), (1, 0), (2, 2), (3, 3)])","(1.0, [(0, 3), (1, 0), (2, 2), (3, 1)])","(3.0, [(0, 1), (1, 0), (2, 2), (3, 3)])","(inf, [])","(inf, [])","(inf, [])","(3.0, [(0, 1), (1, 0), (2, 2), (3, 3)])","(3.0, [(0, 3), (1, 0), (2, 1), (3, 2)])","(3.0, [(0, 1), (1, 0), (2, 2), (3, 3)])","(1.0, [(0, 3), (1, 0), (2, 2), (3, 1)])","(3.0, [(0, 1), (1, 0), (2, 2), (3, 3)])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 3), (2, 2), (3, 1)])","(3.0, [(0, 0), (1, 2), (2, 3), (3, 1)])","(1.0, [(0, 0), (1, 3), (2, 1), (3, 2)])","(1.0, [(0, 3), (1, 0), (2, 2), (3, 1)])","(1.0, [(0, 2), (1, 0), (2, 3), (3, 1)])","(inf, [])","(3.0, [(0, 1), (1, 0), (2, 2), (3, 3)])",4
18,18,18,54,Graph with 4 nodes and 4 edges,Graph with 4 nodes and 3 edges,1.0,"(1.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(1.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(1.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(1.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(inf, [])","(inf, [])","(inf, [])","(1.0, [(0, 2), (1, 0), (2, 1), (3, 3)])","(1.0, [(0, 2), (1, 0), (2, 1), (3, 3)])","(1.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(1.0, [(0, 1), (1, 2), (2, 0), (3, 3)])","(1.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(1.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(1.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 3), (1, 0), (2, 1), (3, 2)])","(3.0, [(0, 3), (1, 1), (2, 2), (3, 0)])","(1.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(1.0, [(0, 1), (1, 2), (2, 0), (3, 3)])","(1.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(inf, [])","(1.0, [(0, 0), (1, 1), (2, 2), (3, 3)])",4
19,19,19,57,Graph with 4 nodes and 4 edges,Graph with 4 nodes and 4 edges,0.0,"(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(inf, [])","(inf, [])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(2.0, [(0, 1), (1, 0), (2, 3), (3, 2)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 2), (1, 1), (2, 0), (3, 3)])","(0.0, [(0, 2), (1, 1), (2, 0), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])",4
20,20,20,60,Graph with 4 nodes and 4 edges,Graph with 4 nodes and 6 edges,2.0,"(2.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(2.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(2.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(2.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(inf, [])","(inf, [])","(inf, [])","(2.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(2.0, [(0, 3), (1, 1), (2, 0), (3, 2)])","(2.0, [(0, 0), (1, 3), (2, 1), (3, 2)])","(2.0, [(0, 2), (1, 0), (2, 1), (3, 3)])","(2.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(2.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(2.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(2.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(2.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(2.0, [(0, 2), (1, 0), (2, 3), (3, 1)])","(2.0, [(0, 2), (1, 1), (2, 0), (3, 3)])","(2.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(inf, [])","(2.0, [(0, 0), (1, 3), (2, 1), (3, 2)])",4
21,21,21,63,Graph with 4 nodes and 6 edges,Graph with 4 nodes and 3 edges,3.0,"(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(inf, [])","(inf, [])","(inf, [])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 1), (1, 2), (2, 0), (3, 3)])","(3.0, [(0, 3), (1, 0), (2, 1), (3, 2)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(41.0, [(0, 18446744073709551614), (1, 18446744073709551614), (2, 18446744073709551614), (3, 18446744073709551614), (18446744073709551614, 0), (18446744073709551614, 1), (18446744073709551614, 2), (18446744073709551614, 3)])","(3.0, [(0, 0), (1, 3), (2, 2), (3, 1)])","(3.0, [(0, 0), (1, 1), (2, 3), (3, 2)])","(3.0, [(0, 2), (1, 0), (2, 3), (3, 1)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(inf, [])","(3.0, [(0, 1), (1, 2), (2, 0), (3, 3)])",4
22,22,22,66,Graph with 4 nodes and 6 edges,Graph with 4 nodes and 3 edges,3.0,"(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(inf, [])","(inf, [])","(inf, [])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 3), (1, 0), (2, 1), (3, 2)])","(3.0, [(0, 3), (1, 1), (2, 0), (3, 2)])","(3.0, [(0, 3), (1, 1), (2, 0), (3, 2)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 3), (1, 1), (2, 0), (3, 2)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(3.0, [(0, 3), (1, 1), (2, 0), (3, 2)])","(3.0, [(0, 2), (1, 3), (2, 1), (3, 0)])","(3.0, [(0, 2), (1, 1), (2, 3), (3, 0)])","(3.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(inf, [])","(3.0, [(0, 3), (1, 1), (2, 0), (3, 2)])",4
